onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.00961924000000636	1.5	GO	RIGHT	0.521186161000003	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.00961924000000636	0
0	2.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
4.262374325	1.5	STOP	LEFT	0.368775878000008	LEFT	95	CorrectResponse	UnsuccessfulStop	0.254684209999994	1	250	-1	4.25	4.262374325	4.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	5.75	0	5.75
6.25465681700001	1.5	GO	LEFT	0.654673680999963	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	6.25	6.25465681700001	6.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	7.75	0	7.75
8.26365503599999	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.352406553000037	2	350	1	8.25	8.26365503599999	8.25
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9.75	0	9.75
12.131017491	1.5	GO	LEFT	0.674883684000008	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	12.131017491	12.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	13.625
14.508293839	1.5	GO	RIGHT	0.443162456000039	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	14.5	14.508293839	14.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16	0	16
16.63434091	1.5	GO	LEFT	0.386560100999986	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	16.625	16.63434091	16.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	18.125	0	18.125
18.643333123	1.5	GO	RIGHT	0.353313996999987	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	18.625	18.643333123	18.625
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.125	0	20.125
22.142477263	1.5	GO	RIGHT	0.615710165000053	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	22.125	22.142477263	22.125
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.625	0	23.625
24.754109677	1.5	GO	RIGHT	0.378762394000034	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	24.75	24.754109677	24.75
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	26.25	0	26.25
28.253083008	1.5	GO	LEFT	0.566926631000001	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	28.25	28.253083008	28.25
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	29.75	0	29.75
32.003299819	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.205278115999988	1	200	1	32	32.003299819	32
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	33.5	0	33.5
35.268026746	1.5	STOP	RIGHT	0.473215339999967	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.402025444999992	2	400	-1	35.25	35.268026746	35.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	36.75	0	36.75
37.511216592	1.5	GO	LEFT	0.468296402000021	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	37.5	37.511216592	37.5
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	39	0	39
40.390759412	1.5	GO	LEFT	0.645122780999998	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	40.375	40.390759412	40.375
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	41.875	0	41.875
43.002432946	1.5	GO	RIGHT	0.338260918000003	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	43	43.002432946	43
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	44.5	0	44.5
45.262660581	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251111689999959	1	250	1	45.25	45.262660581	45.25
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	46.75	0	46.75
48.510495023	1.5	GO	RIGHT	0.542118632999973	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	48.5	48.510495023	48.5
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	50	0	50
51.1391226	1.5	GO	RIGHT	0.520540307999966	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	51.125	51.1391226	51.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52.625	0	52.625
53.633571395	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.353471612999954	2	350	1	53.625	53.633571395	53.625
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	55.125	0	55.125
55.75964069	1.5	GO	LEFT	0.651687570000036	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	55.75	55.75964069	55.75
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	57.25	0	57.25
58.75637387	1.5	GO	LEFT	0.473256465999953	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	58.75	58.75637387	58.75
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	60.25	0	60.25
60.882871923	1.5	GO	RIGHT	0.730708296999978	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	60.875	60.882871923	60.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	62.375	0	62.375
63.008934892	1.5	GO	LEFT	0.506924416999993	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	63	63.008934892	63
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	64.5	0	64.5
66.256739827	1.5	GO	RIGHT	0.363903692999997	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	66.25	66.256739827	66.25
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	67.75	0	67.75
69.253368273	1.5	STOP	LEFT	0.453948691999983	LEFT	95	CorrectResponse	UnsuccessfulStop	0.403099353000016	2	400	-1	69.25	69.253368273	69.25
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	70.75	0	70.75
72.266839807	1.5	STOP	RIGHT	0.417940108000039	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.302832243000012	1	300	-1	72.25	72.266839807	72.25
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	73.75	0	73.75
75.012680923	1.5	GO	RIGHT	0.584964303999982	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	75	75.012680923	75
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.5	0	76.5
77.255950336	1.5	GO	RIGHT	0.422200669000006	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	77.25	77.255950336	77.25
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	78.75	0	78.75
80.503966861	1.5	GO	LEFT	0.372548529000028	RIGHT	92	IncorrectResponse	JUNK	0	0	0	0	80.5	80.503966861	80.5
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	82	0	82
83.015093389	1.5	GO	LEFT	0.390468757999997	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	83	83.015093389	83
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	84.5	0	84.5
