onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.495550822000041	0.85748182999987	0.85748182999987	1	BALOON	5	ACCEPT	1	5	5	5	0.495550822000041
3.83804302299995	0.41098803299974	0.41098803299974	1	BALOON	5	ACCEPT	1	5	10	5	3.83804302299995
6.99848255999996	0.350563249000061	0.350563249000061	1	BALOON	5	ACCEPT	1	5	15	5	6.99848255999996
9.06683967199979	0.374196842999936	0.374196842999936	1	BALOON	5	ACCEPT	1	5	20	5	9.06683967199979
12.3100250590001	0.415002724999795	0.415002724999795	1	BALOON	5	ACCEPT	1	5	25	5	12.3100250590001
15.1560859480001	0.342016711999804	0.342016711999804	1	BALOON	5	ACCEPT	1	5	30	5	15.1560859480001
18.366190107	0.665850013999716	0.665850013999716	1	BALOON	5	ACCEPT	1	5	35	5	18.366190107
20.3187280469997	0.745346056000017	0.745346056000017	1	BALOON	5	ACCEPT	1	5	40	5	20.3187280469997
23.1151448569999	0	0	1	BALOON	n/a	EXPLODE	1	0	40	5	23.1151448569999
36.5346899759998	0.868347059999905	0.868347059999905	2	CONTROL	5	ACCEPT	1	0	0	0	36.5346899759998
38.6030672869997	0.293976106000173	0.293976106000173	2	CONTROL	5	ACCEPT	1	0	0	0	38.6030672869997
50.698841203	0.60419719399988	0.60419719399988	3	BALOON	5	ACCEPT	1	5	5	5	50.698841203
52.8995404499997	0.417503928000315	0.417503928000315	3	BALOON	5	ACCEPT	1	5	10	5	52.8995404499997
56.0930775049997	0.480959456000164	0.480959456000164	3	BALOON	5	ACCEPT	1	5	15	5	56.0930775049997
59.468698959	0	0	3	BALOON	n/a	EXPLODE	1	0	15	5	59.468698959
63.4730068059998	0.497037688000091	0.497037688000091	4	BALOON	5	ACCEPT	0	5	5	5	63.4730068059998
65.9385010599999	0.420535138000105	0.420535138000105	4	BALOON	5	ACCEPT	0	5	10	5	65.9385010599999
67.642805816	0.298230818999855	0.298230818999855	4	BALOON	5	ACCEPT	0	5	15	5	67.642805816
69.7111740179998	0.369867255999907	0.369867255999907	4	BALOON	5	ACCEPT	0	5	20	5	69.7111740179998
71.266567912	0.39247893899983	0.39247893899983	4	BALOON	5	ACCEPT	0	5	25	5	71.266567912
74.1953707169996	0.439680093000334	0.439680093000334	4	BALOON	28	CASHOUT	0	0	25	5	74.1953707169996
80.59904345	0.386002955000095	0.386002955000095	5	BALOON	5	ACCEPT	0	5	5	5	80.59904345
83.9414868949998	0.353560005999952	0.353560005999952	5	BALOON	5	ACCEPT	0	5	10	5	83.9414868949998
