onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.00707779100000039	1.5	GO	LEFT	0.529691838000019	n/a	17	IncorrectResponse	JUNK	0	0	0	0	0	0.00707779100000039	0
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.51864850600001	1.5	STOP	LEFT	0.438602240999984	n/a	17	IncorrectResponse	UnsuccessfulStop	0.353390126999983	2	350	-1	2.5	2.51864850600001	2.5
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	4	0	4
5.264372127	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.253444234999989	1	250	1	5.25	5.264372127	5.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.75	0	6.75
7.50761484700001	1.5	GO	RIGHT	0.528472833999984	n/a	16	IncorrectResponse	JUNK	0	0	0	0	7.5	7.50761484700001	7.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9	0	9
9.51662126600002	1.5	GO	RIGHT	0.456848133999983	n/a	16	IncorrectResponse	JUNK	0	0	0	0	9.5	9.51662126600002	9.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11	0	11
11.508842823	1.5	GO	RIGHT	0.423481901000002	n/a	16	IncorrectResponse	JUNK	0	0	0	0	11.5	11.508842823	11.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13	0	13
13.51793571	1.5	GO	LEFT	0.597271173999985	n/a	17	IncorrectResponse	JUNK	0	0	0	0	13.5	13.51793571	13.5
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	15	0	15
17.016968889	1.5	GO	LEFT	0.475732309999984	n/a	17	IncorrectResponse	JUNK	0	0	0	0	17	17.016968889	17
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	18.5	0	18.5
21.771472108	1.5	GO	LEFT	0.51858481299999	n/a	17	IncorrectResponse	JUNK	0	0	0	0	21.75	21.771472108	21.75
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.25	0	23.25
25.00264409	1.5	GO	RIGHT	0.536928508000017	n/a	16	IncorrectResponse	JUNK	0	0	0	0	25	25.00264409	25
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	26.5	0	26.5
28.518391823	1.5	GO	RIGHT	0.622310223999989	n/a	16	IncorrectResponse	JUNK	0	0	0	0	28.5	28.518391823	28.5
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30	0	30
31.883525259	1.5	GO	RIGHT	0.675665579999986	n/a	16	IncorrectResponse	JUNK	0	0	0	0	31.875	31.883525259	31.875
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	33.375	0	33.375
35.633567796	1.5	GO	LEFT	0.635261394999986	n/a	17	IncorrectResponse	JUNK	0	0	0	0	35.625	35.633567796	35.625
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	37.125	0	37.125
