onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
2.00618588099996	1.5	GO	RIGHT	0.744755423999777	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	2	0.00618588099996487	0
2	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.5	0	1.5
5.62990054200009	1.5	STOP	RIGHT	0.435811021999598	RIGHT	28	CorrectResponse	UnsuccessfulStop	0	1	450	-1	5.625	3.62990054200009	3.625
2	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	7.125	0	5.125
10.0149242480002	1.5	STOP	LEFT	0.561544343999685	LEFT	5	CorrectResponse	UnsuccessfulStop	0.353861797999798	2	350	-1	10	8.01492424800017	8
2	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.5	0	9.5
12.13279805	1.5	GO	RIGHT	0.659625931999926	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	10.13279805	10.125
2	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	11.625
14.6314856700001	1.5	GO	LEFT	0.287956736000069	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	14.625	12.6314856700001	12.625
2	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16.125	0	14.125
17.6430209559999	1.5	GO	LEFT	0.440908906000004	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	17.625	15.6430209559999	15.625
2	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	19.125	0	17.125
20.257383611	1.5	GO	LEFT	0.398196269999971	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	20.25	18.257383611	18.25
2	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	21.75	0	19.75
22.259516093	1.5	GO	RIGHT	0.445064074000129	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	22.25	20.259516093	20.25
2	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.75	0	21.75
25.8832457539997	1.5	STOP	LEFT	0.42886330500005	LEFT	5	CorrectResponse	UnsuccessfulStop	0.403238737000265	1	400	-1	25.875	23.8832457539997	23.875
2	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	27.375	0	25.375
28.6301837609999	1.5	STOP	RIGHT	0.259074509000129	RIGHT	28	CorrectResponse	UnsuccessfulStop	0	2	300	-1	28.625	26.6301837609999	26.625
2	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30.125	0	28.125
31.5091465119999	1.5	GO	RIGHT	0.36662193400025	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	31.5	29.5091465119999	29.5
2	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	33	0	31
33.7594863730001	1.5	GO	RIGHT	0.724502737999956	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	33.75	31.7594863730001	31.75
2	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	35.25	0	33.25
36.390585738	1.5	GO	LEFT	0.41320127400013	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	36.375	34.390585738	34.375
2	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	37.875	0	35.875
39.8819374029999	1.5	GO	LEFT	0.518814407999798	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	39.875	37.8819374029999	37.875
2	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	41.375	0	39.375
43.2575043699999	1.5	GO	LEFT	0.599054818000241	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	43.25	41.2575043699999	41.25
2	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	44.75	0	42.75
46.8812789789999	1.5	GO	RIGHT	0	n/a	0	IncorrectResponse	UnuccessfulGo	0	0	0	0	46.875	44.8812789789999	44.875
