onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0108687529999543	1.5	GO	RIGHT	0.624711414999979	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0108687529999543	0
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
3.25877609700001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.356455782000012	2	350	1	3.25	3.25877609700001	3.25
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	4.75	0	4.75
6.89193413600003	1.5	GO	LEFT	0.39537829599999	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	6.875	6.89193413600003	6.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.375	0	8.375
8.88408102400001	1.5	GO	RIGHT	0.417878934999976	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	8.875	8.88408102400001	8.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	10.375	0	10.375
10.893000447	1.5	STOP	LEFT	0.401910835000081	LEFT	95	CorrectResponse	UnsuccessfulStop	0.252643016000093	1	250	-1	10.875	10.893000447	10.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	12.375	0	12.375
13.0192497639999	1.5	GO	LEFT	0.507573271999945	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	13	13.0192497639999	13
0	3.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	14.5	0	14.5
18.142215085	1.5	GO	RIGHT	0.544637293999926	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	18.125	18.142215085	18.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	19.625	0	19.625
20.519465735	1.5	GO	LEFT	0.406684215999917	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	20.5	20.519465735	20.5
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	22	0	22
23.3990941229999	1.5	GO	RIGHT	0.470375427000022	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	23.375	23.3990941229999	23.375
0	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	24.875	0	24.875
27.768627483	1.5	GO	LEFT	0.492736532000094	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	27.75	27.768627483	27.75
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	29.25	0	29.25
30.380377133	1.5	GO	RIGHT	0.477177807999965	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	30.375	30.380377133	30.375
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	31.875	0	31.875
32.389300726	1.5	STOP	RIGHT	0.455589606999979	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.401774830000022	2	400	-1	32.375	32.389300726	32.375
0	2.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	33.875	0	33.875
36.507787284	1.5	GO	LEFT	0.490018582999937	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	36.5	36.507787284	36.5
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	38	0	38
38.767878869	1.5	GO	LEFT	0.575718854000002	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	38.75	38.767878869	38.75
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.25	0	40.25
40.760250398	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.200724078999997	1	200	1	40.75	40.760250398	40.75
