onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0102684880000083	1.5	STOP	RIGHT	0.584019070000011	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.354284436	2	350	-1	0	0.0102684880000083	0
0	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
4.37994242500002	1.5	GO	LEFT	0.384118485999977	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	4.375	4.37994242500002	4.375
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	5.875	0	5.875
8.01278093799999	1.5	STOP	LEFT	0.367321200000049	LEFT	95	CorrectResponse	UnsuccessfulStop	0.251303304000032	1	250	-1	8	8.01278093799999	8
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9.5	0	9.5
10.758465946	1.5	GO	RIGHT	0.295238562999998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	10.75	10.758465946	10.75
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	12.25	0	12.25
13.018504724	1.5	GO	RIGHT	0.337190433000046	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	13	13.018504724	13
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	14.5	0	14.5
15.144787007	1.5	GO	RIGHT	0.355445851000013	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	15.125	15.144787007	15.125
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16.625	0	16.625
17.254185969	1.5	GO	LEFT	0.253883913999971	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	17.25	17.254185969	17.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	18.75	0	18.75
19.51431799	1.5	GO	LEFT	0.346223371999997	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	19.5	19.51431799	19.5
0	2.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	21	0	21
23.515579343	1.5	GO	LEFT	0.393171189999975	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	23.5	23.515579343	23.5
0	3.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25	0	25
28.387603377	1.5	GO	LEFT	0.380381764999981	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	28.375	28.387603377	28.375
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	29.875	0	29.875
31.635452974	1.5	STOP	LEFT	0.290495300999964	LEFT	95	CorrectResponse	UnsuccessfulStop	0	2	300	-1	31.625	31.635452974	31.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	33.125	0	33.125
34.012568808	1.5	GO	LEFT	0.360598528000025	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	34	34.012568808	34
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	35.5	0	35.5
37.260512786	1.5	STOP	RIGHT	0.319068625999989	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.203130417000011	1	200	-1	37.25	37.260512786	37.25
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	38.75	0	38.75
39.386697203	1.5	GO	RIGHT	0.421446447999983	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	39.375	39.386697203	39.375
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.875	0	40.875
41.881157183	1.5	GO	RIGHT	0.306707212999981	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	41.875	41.881157183	41.875
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	43.375	0	43.375
44.141272949	1.5	GO	RIGHT	0.351380534999976	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	44.125	44.141272949	44.125
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	45.625	0	45.625
47.004135982	1.5	GO	LEFT	0.328721847999986	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	47	47.004135982	47
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	48.5	0	48.5
49.381471597	1.5	GO	RIGHT	0.334051041000009	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	49.375	49.381471597	49.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	50.875	0	50.875
51.507664011	1.5	GO	LEFT	0.288793785999985	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	51.5	51.507664011	51.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	53	0	53
53.884917082	1.5	GO	RIGHT	0.302638737999985	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	53.875	53.884917082	53.875
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	55.375	0	55.375
56.630555973	1.5	STOP	RIGHT	0.373699680000016	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.255023773999994	2	250	-1	56.625	56.630555973	56.625
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	58.125	0	58.125
59.644246825	1.5	STOP	LEFT	0.31980898300003	LEFT	95	CorrectResponse	UnsuccessfulStop	0.15112467900002	1	150	-1	59.625	59.644246825	59.625
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.125	0	61.125
62.640965281	1.5	GO	LEFT	0.34804552899999	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	62.625	62.640965281	62.625
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	64.125	0	64.125
65.13554156	1.5	GO	RIGHT	0.300462998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	65.125	65.13554156	65.125
