onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.0322403400004987	1.96683368699996	1.96683368699996	1	BALOON	5	ACCEPT	0	5	5	5	0.0322403400004987
4.97980123200068	0.76826975899894	0.76826975899894	1	BALOON	5	ACCEPT	0	5	10	5	4.97980123200068
7.92510702499931	0.781970323001588	0.781970323001588	1	BALOON	5	ACCEPT	0	5	15	5	7.92510702499931
11.7805428480006	0.454546314000254	0.454546314000254	1	BALOON	28	CASHOUT	0	0	15	5	11.7805428480006
16.3309324940001	0.72913915800018	0.72913915800018	2	BALOON	5	ACCEPT	0	5	5	5	16.3309324940001
19.2431610889998	0.690924480999456	0.690924480999456	2	BALOON	5	ACCEPT	0	5	10	5	19.2431610889998
21.3942554629994	0.457821401001638	0.457821401001638	2	BALOON	5	ACCEPT	0	5	15	5	21.3942554629994
24.1906890650007	1.18238323100013	1.18238323100013	2	BALOON	5	ACCEPT	0	5	20	5	24.1906890650007
28.0295516200003	0.603529693000382	0.603529693000382	2	BALOON	28	CASHOUT	0	0	20	5	28.0295516200003
32.3152085580004	0.895872138000414	0.895872138000414	3	CONTROL	5	ACCEPT	1	0	0	0	32.3152085580004
35.0785884729994	0.364471439001136	0.364471439001136	3	CONTROL	5	ACCEPT	1	0	0	0	35.0785884729994
37.4448188719998	0.422260552000807	0.422260552000807	3	CONTROL	5	ACCEPT	1	0	0	0	37.4448188719998
53.131183423	0.891910730999371	0.891910730999371	4	BALOON	5	ACCEPT	1	5	5	5	53.131183423
55.5635577690009	0.924567088999538	0.924567088999538	4	BALOON	5	ACCEPT	1	5	10	5	55.5635577690009
59.3197745130001	0.559307261000868	0.559307261000868	4	BALOON	5	ACCEPT	1	5	15	5	59.3197745130001
61.917613814001	0	0	4	BALOON	n/a	EXPLODE	1	0	15	5	61.917613814001
66.40179532	0.519287249000627	0.519287249000627	5	BALOON	5	ACCEPT	0	5	5	5	66.40179532
68.4039580890003	0.741126863000318	0.741126863000318	5	BALOON	5	ACCEPT	0	5	10	5	68.4039580890003
71.1010919649998	0.741993218000061	0.741993218000061	5	BALOON	28	CASHOUT	0	0	10	5	71.1010919649998
76.842892265	0.599189210000986	0.599189210000986	6	BALOON	5	ACCEPT	0	5	5	5	76.842892265
78.7788630220002	0.61521803100004	0.61521803100004	6	BALOON	5	ACCEPT	0	5	10	5	78.7788630220002
80.9299282169995	0.335152565001408	0.335152565001408	6	BALOON	5	ACCEPT	0	5	15	5	80.9299282169995
83.1803269520005	0.478778020000391	0.478778020000391	6	BALOON	28	CASHOUT	0	0	15	5	83.1803269520005
87.7141735820005	0.820912858998781	0.820912858998781	7	BALOON	5	ACCEPT	0	5	5	5	87.7141735820005
90.113496385	0.418582315000094	0.418582315000094	7	BALOON	5	ACCEPT	0	5	10	5	90.113496385
93.0257426009994	0.779340382001465	0.779340382001465	7	BALOON	28	CASHOUT	0	0	10	5	93.0257426009994
100.074699123001	0.698396124000283	0.698396124000283	8	BALOON	5	ACCEPT	0	5	5	5	100.074699123001
103.020063978	0.608007756000006	0.608007756000006	8	BALOON	5	ACCEPT	0	5	10	5	103.020063978
105.584807462999	0.63928048300113	0.63928048300113	8	BALOON	5	ACCEPT	0	5	15	5	105.584807462999
109.125855077	0.973233218001042	0.973233218001042	8	BALOON	28	CASHOUT	0	0	15	5	109.125855077
117.978430596	0.690671861999363	0.690671861999363	9	BALOON	5	ACCEPT	0	5	5	5	117.978430596
121.304355625	0.898742721999952	0.898742721999952	9	BALOON	5	ACCEPT	0	5	10	5	121.304355625
124.348994041	0.360093765999409	0.360093765999409	9	BALOON	5	ACCEPT	0	5	15	5	124.348994041
127.046128151	0.435960029000853	0.435960029000853	9	BALOON	28	CASHOUT	0	0	15	5	127.046128151
133.598697439	0.457381563001036	0.457381563001036	10	BALOON	5	ACCEPT	0	5	5	5	133.598697439
136.577104309001	0.449992735999331	0.449992735999331	10	BALOON	5	ACCEPT	0	5	10	5	136.577104309001
138.231808512	0.375281372000245	0.375281372000245	10	BALOON	5	ACCEPT	0	5	15	5	138.231808512
140.978579770001	0.374526212999626	0.374526212999626	10	BALOON	28	CASHOUT	0	0	15	5	140.978579770001
146.803127535	0.461967029999869	0.461967029999869	11	CONTROL	5	ACCEPT	1	0	0	0	146.803127535
149.616109627001	0.366983378999066	0.366983378999066	11	CONTROL	5	ACCEPT	1	0	0	0	149.616109627001
151.386654615	0.722450168999785	0.722450168999785	11	CONTROL	5	ACCEPT	1	0	0	0	151.386654615
153.388798898	0.770292482999139	0.770292482999139	11	CONTROL	5	ACCEPT	1	0	0	0	153.388798898
156.499649982999	0.405444175999946	0.405444175999946	11	CONTROL	5	ACCEPT	1	0	0	0	156.499649982999
163.151440007001	0.653653751998718	0.653653751998718	12	BALOON	5	ACCEPT	0	5	5	5	163.151440007001
165.881651342999	0.862418937000257	0.862418937000257	12	BALOON	5	ACCEPT	0	5	10	5	165.881651342999
