onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
2.01950975499994	1.5	GO	RIGHT	0.483456320000187	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	2	0.0195097549999446	0
2	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.5	0	1.5
5.26272545399979	1.5	STOP	LEFT	0.330027957999846	LEFT	5	CorrectResponse	UnsuccessfulStop	0.252523855000163	2	250	-1	5.25	3.26272545399979	3.25
2	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.75	0	4.75
7.2648657499999	1.5	STOP	RIGHT	0.364881295000032	RIGHT	28	CorrectResponse	UnsuccessfulStop	0.252272149999953	1	250	-1	7.25	5.2648657499999	5.25
2	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.75	0	6.75
10.011707826	1.5	GO	LEFT	0.584819318999962	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	10	8.01170782600002	8
2	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.5	0	9.5
12.1297347330001	1.5	GO	RIGHT	0.426257430000078	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	10.1297347330001	10.125
2	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	11.625
14.8930670939999	1.5	GO	LEFT	0.455822800000078	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	14.875	12.8930670939999	12.875
2	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16.375	0	14.375
16.8786255330001	1.5	GO	RIGHT	0.438451133999934	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	16.875	14.8786255330001	14.875
2	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	18.375	0	16.375
19.8901698159998	1.5	GO	LEFT	0.285075725999832	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	19.875	17.8901698159998	17.875
2	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	21.375	0	19.375
22.7693646789999	1.5	GO	LEFT	0.370966986999974	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	22.75	20.7693646789999	20.75
