onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0165414079999664	1.5	GO	LEFT	0.477132158000018	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0165414079999664	0
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.00859988399998	1.5	GO	RIGHT	0.391396128999986	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	2	2.00859988399998	2
0	4	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.5	0	3.5
7.51664930300001	1.5	STOP	LEFT	0.433434043000034	LEFT	95	CorrectResponse	UnsuccessfulStop	0.354090288999998	2	350	-1	7.5	7.51664930300001	7.5
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9	0	9
10.145038213	1.5	STOP	RIGHT	0.430595756000002	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.251415069000018	1	250	-1	10.125	10.145038213	10.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.625	0	11.625
12.137232043	1.5	GO	RIGHT	0.406304175999992	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	12.137232043	12.125
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	13.625
15.385216367	1.5	GO	LEFT	0.395497398999964	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	15.375	15.385216367	15.375
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16.875	0	16.875
18.633082174	1.5	GO	LEFT	0.430391943000018	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	18.625	18.633082174	18.625
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.125	0	20.125
22.383160254	1.5	GO	RIGHT	0.456923027000016	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	22.375	22.383160254	22.375
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.875	0	23.875
24.392190156	1.5	GO	RIGHT	0.423850085999959	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	24.375	24.392190156	24.375
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25.875	0	25.875
