onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.00762118800003009	1.5	GO	RIGHT	0.807410450000134	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.00762118800003009	0
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.01015430500001	1.5	GO	RIGHT	0.52254286499965	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	2	2.01015430500001	2
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.5	0	3.5
4.26024425000014	1.5	GO	LEFT	0.417746483000428	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	4.25	4.26024425000014	4.25
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	5.75	0	5.75
6.262676027	1.5	GO	RIGHT	0.309099094999965	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	6.25	6.262676027	6.25
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	7.75	0	7.75
8.628724315	1.5	GO	LEFT	0.326616987999842	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	8.625	8.628724315	8.625
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	10.125	0	10.125
11.1273276020002	1.5	GO	LEFT	0.52429281600007	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	11.125	11.1273276020002	11.125
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	12.625	0	12.625
14.2544489110001	1.5	STOP	LEFT	0.488791326999944	LEFT	5	CorrectResponse	UnsuccessfulStop	0.054152172999693	1	50	-1	14.25	14.2544489110001	14.25
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	15.75	0	15.75
17.5144481030002	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.0546373320003113	2	50	1	17.5	17.5144481030002	17.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	19	0	19
19.632384814	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.00521467500038852	1	0	1	19.625	19.632384814	19.625
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	21.125	0	21.125
22.0151629850002	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.10335878900014	2	100	1	22	22.0151629850002	22
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.5	0	23.5
24.1331700590003	1.5	GO	LEFT	0.398432985999989	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	24.125	24.1331700590003	24.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25.625	0	25.625
26.6318149600002	1.5	GO	RIGHT	0.342752796000241	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	26.625	26.6318149600002	26.625
0	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	28.125	0	28.125
31.0169028620003	1.5	GO	LEFT	0.366987126999902	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	31	31.0169028620003	31
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	32.5	0	32.5
33.0023366770001	1.5	GO	RIGHT	0.330804173999695	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	33	33.0023366770001	33
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	34.5	0	34.5
35.1368861280002	1.5	GO	LEFT	0.565807271000267	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	35.125	35.1368861280002	35.125
0	2.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	36.625	0	36.625
39.1411774090002	1.5	GO	RIGHT	0.33502001800025	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	39.125	39.1411774090002	39.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.625	0	40.625
41.12692836	1.5	GO	RIGHT	0.48545186299998	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	41.125	41.12692836	41.125
