onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.00684265500001402	1.5	STOP	RIGHT	0.358461932999944	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.351928380999993	2	350	-1	0	0.00684265500001402	0
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.143094185	1.5	GO	LEFT	0.398401852999996	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	2.125	2.143094185	2.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.625	0	3.625
4.64434974799997	1.5	GO	RIGHT	0.361342328999967	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	4.625	4.64434974799997	4.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.125	0	6.125
6.89573482399999	1.5	STOP	LEFT	0.276649008000049	LEFT	95	CorrectResponse	UnsuccessfulStop	0.25139342600005	1	250	-1	6.875	6.89573482399999	6.875
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.375	0	8.375
9.76397184500001	1.5	GO	RIGHT	0.346437868999942	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	9.75	9.76397184500001	9.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.25	0	11.25
12.1299388159999	1.5	GO	LEFT	0.346462061000011	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	12.1299388159999	12.125
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	13.625
15.633748934	1.5	GO	LEFT	0.622049987999958	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	15.625	15.633748934	15.625
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	17.125	0	17.125
18.885536245	1.5	GO	RIGHT	0.328508207000027	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	18.875	18.885536245	18.875
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.375	0	20.375
21.520476454	1.5	GO	RIGHT	0.576885892000064	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	21.5	21.520476454	21.5
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23	0	23
24.138468839	1.5	GO	LEFT	0.484494508000012	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	24.125	24.138468839	24.125
0	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25.625	0	25.625
