onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0181019660000175	1.5	STOP	RIGHT	0.430622522000021	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.350608211999997	2	350	-1	0	0.0181019660000175	0
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.13576440100007	1.5	GO	LEFT	0.419679367999947	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	2.125	2.13576440100007	2.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.625	0	3.625
4.63713746200006	1.5	GO	RIGHT	0.301727763000031	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	4.625	4.63713746200006	4.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6.125	0	6.125
6.88831186100003	1.5	STOP	LEFT	0.292309996999961	LEFT	95	CorrectResponse	UnsuccessfulStop	0.251493507999953	1	250	-1	6.875	6.88831186100003	6.875
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	8.375	0	8.375
9.75468784600002	1.5	GO	RIGHT	0.223295276000044	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	9.75	9.75468784600002	9.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.25	0	11.25
12.141382193	1.5	GO	LEFT	0.344821929000091	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	12.125	12.141382193	12.125
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	13.625	0	13.625
15.643579391	1.5	GO	LEFT	0.375497057000075	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	15.625	15.643579391	15.625
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	17.125	0	17.125
18.895040824	1.5	GO	RIGHT	0.26123868600007	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	18.875	18.895040824	18.875
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.375	0	20.375
21.513099087	1.5	GO	RIGHT	0.443598774000066	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	21.5	21.513099087	21.5
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23	0	23
24.147988853	1.5	GO	LEFT	0.29002732899994	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	24.125	24.147988853	24.125
0	2.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	25.625	0	25.625
28.5169449580001	1.5	GO	LEFT	0.296926059999919	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	28.5	28.5169449580001	28.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30	0	30
30.884875812	1.5	GO	RIGHT	0.54426713099997	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	30.875	30.884875812	30.875
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	32.375	0	32.375
33.769848871	1.5	GO	LEFT	0.324827367000012	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	33.75	33.769848871	33.75
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	35.25	0	35.25
37.388517041	1.5	GO	RIGHT	0.297760595	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	37.375	37.388517041	37.375
0	3.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	38.875	0	38.875
42.007486993	1.5	STOP	LEFT	0.299757143999955	LEFT	95	CorrectResponse	UnsuccessfulStop	0.30109306099996	2	300	-1	42	42.007486993	42
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	43.5	0	43.5
45.1427236100001	1.5	STOP	RIGHT	0.373643793999918	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.20243359299991	1	200	-1	45.125	45.1427236100001	45.125
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	46.625	0	46.625
48.1444165070001	1.5	GO	RIGHT	0.468987383000012	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	48.125	48.1444165070001	48.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.625	0	49.625
50.512787716	1.5	GO	LEFT	0.388358950000111	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	50.5	50.512787716	50.5
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52	0	52
53.51397722	1.5	STOP	LEFT	0.707006962000037	LEFT	95	CorrectResponse	UnsuccessfulStop	0.252771238000037	2	250	-1	53.5	53.51397722	53.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	55	0	55
55.880829169	1.5	STOP	RIGHT	0.394253033999917	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.151727231999985	1	150	-1	55.875	55.880829169	55.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	57.375	0	57.375
57.8829891070001	1.5	GO	RIGHT	0.544362094000007	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	57.875	57.8829891070001	57.875
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	59.375	0	59.375
60.134562454	1.5	GO	LEFT	0.558239472999958	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	60.125	60.134562454	60.125
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.625	0	61.625
62.769103685	1.5	GO	RIGHT	0.32314202200007	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	62.75	62.769103685	62.75
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	64.25	0	64.25
65.0203686660001	1.5	GO	LEFT	0.376985615000081	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	65	65.0203686660001	65
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	66.5	0	66.5
68.772387621	1.5	GO	RIGHT	0.425435937000088	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	68.75	68.772387621	68.75
0	2.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	70.25	0	70.25
73.007871742	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.20062185900008	2	200	1	73	73.007871742	73
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.5	0	74.5
75.392698979	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.101808127000027	1	100	1	75.375	75.392698979	75.375
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.875	0	76.875
79.1431240320001	1.5	GO	LEFT	0.364700141000071	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	79.125	79.1431240320001	79.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	80.625	0	80.625
