onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0134017909999784	1.5	GO	RIGHT	0.479983916000037	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0134017909999784	0
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
2.25654476799991	1.5	STOP	RIGHT	0.430025285000056	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.355643157000031	2	350	-1	2.25	2.25654476799991	2.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	3.75	0	3.75
4.516701829	1.5	STOP	LEFT	0.328532440000004	LEFT	95	CorrectResponse	UnsuccessfulStop	0.253917925999986	1	250	-1	4.5	4.516701829	4.5
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	6	0	6
8.13295966599992	1.5	GO	LEFT	0.457114434000005	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	8.125	8.13295966599992	8.125
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9.625	0	9.625
10.510177542	1.5	GO	RIGHT	0.319726936999928	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	10.5	10.510177542	10.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	12	0	12
12.6365748249999	1.5	GO	LEFT	0.32906449799998	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	12.625	12.6365748249999	12.625
0	2.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	14.125	0	14.125
16.5037063169999	1.5	GO	RIGHT	0.453261698999995	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	16.5	16.5037063169999	16.5
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	18	0	18
19.383299352	1.5	GO	LEFT	0.414742596999986	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	19.375	19.383299352	19.375
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.875	0	20.875
22.647897791	1.5	GO	LEFT	0.445054561000006	RIGHT	92	IncorrectResponse	JUNK	0	0	0	0	22.625	22.647897791	22.625
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	24.125	0	24.125
25.762022558	1.5	STOP	LEFT	0.514753429999928	LEFT	95	CorrectResponse	UnsuccessfulStop	0.304030732999991	2	300	-1	25.75	25.762022558	25.75
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	27.25	0	27.25
28.641669602	1.5	GO	RIGHT	0.500030824000078	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	28.625	28.641669602	28.625
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30.125	0	30.125
30.767667287	1.5	GO	LEFT	0.350868396999999	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	30.75	30.767667287	30.75
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	32.25	0	32.25
32.760011655	1.5	GO	LEFT	0.558171023999989	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	32.75	32.760011655	32.75
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	34.25	0	34.25
36.392986749	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.204379044999996	1	200	1	36.375	36.392986749	36.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	37.875	0	37.875
38.5191775549999	1.5	GO	RIGHT	0.37412132299994	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	38.5	38.5191775549999	38.5
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40	0	40
40.879594509	1.5	GO	RIGHT	0.334368652999956	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	40.875	40.879594509	40.875
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	42.375	0	42.375
44.378602724	1.5	GO	LEFT	0.419555526000067	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	44.375	44.378602724	44.375
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	45.875	0	45.875
47.006980539	1.5	GO	LEFT	0.382478757999934	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	47	47.006980539	47
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	48.5	0	48.5
49.016124676	1.5	GO	RIGHT	0.302412224000022	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	49	49.016124676	49
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	50.5	0	50.5
51.142225273	1.5	GO	LEFT	0.416660603000082	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	51.125	51.142225273	51.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	52.625	0	52.625
53.134540991	1.5	GO	RIGHT	0.400602562000017	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	53.125	53.134540991	53.125
0	2.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	54.625	0	54.625
57.135739287	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.256179008000004	2	250	1	57.125	57.135739287	57.125
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	58.625	0	58.625
59.881381477	1.5	GO	RIGHT	0.235819430999982	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	59.875	59.881381477	59.875
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.375	0	61.375
62.141622934	1.5	STOP	RIGHT	0.385846649999962	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.252445047999913	1	250	-1	62.125	62.141622934	62.125
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	63.625	0	63.625
64.3848492769999	1.5	GO	RIGHT	0.443530396999904	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	64.375	64.3848492769999	64.375
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	65.875	0	65.875
66.7621842049999	1.5	STOP	LEFT	0.37166296700002	LEFT	95	CorrectResponse	UnsuccessfulStop	0.305499685999962	2	300	-1	66.75	66.7621842049999	66.75
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	68.25	0	68.25
68.7543942269999	1.5	STOP	RIGHT	0.331033824000087	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.200521545000015	1	200	-1	68.75	68.7543942269999	68.75
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	70.25	0	70.25
70.8805667299999	1.5	GO	LEFT	0.796690177999949	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	70.875	70.8805667299999	70.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	72.375	0	72.375
73.0067578349999	1.5	GO	LEFT	0.502805689999946	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	73	73.0067578349999	73
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.5	0	74.5
75.1331222909999	1.5	GO	RIGHT	0.537281005000068	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	75.125	75.1331222909999	75.125
0	2.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.625	0	76.625
78.766034529	1.5	GO	LEFT	0.609444951	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	78.75	78.766034529	78.75
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	80.25	0	80.25
81.511672935	1.5	GO	RIGHT	0.326015688999973	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	81.5	81.511672935	81.5
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	83	0	83
84.642243484	1.5	GO	RIGHT	0.452407898000047	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	84.625	84.642243484	84.625
0	2.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	86.125	0	86.125
88.643742483	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.255704886000103	2	250	1	88.625	88.643742483	88.625
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	90.125	0	90.125
90.886891171	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.152475356000082	1	150	1	90.875	90.886891171	90.875
0	1.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	92.375	0	92.375
94.134801448	1.5	GO	LEFT	0.49316953999994	RIGHT	92	IncorrectResponse	JUNK	0	0	0	0	94.125	94.134801448	94.125
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	95.625	0	95.625
97.0144491569999	1.5	GO	RIGHT	0	n/a	0	IncorrectResponse	UnuccessfulGo	0	0	0	0	97	97.0144491569999	97
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	98.5	0	98.5
99.090395686	1.5	GO	RIGHT	0.460067664000007	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	99	99.090395686	99
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	100.5	0	100.5
102.137449493	1.5	GO	LEFT	0.413164701999904	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	102.125	102.137449493	102.125
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	103.625	0	103.625
104.631843765	1.5	GO	LEFT	0.389094697000019	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	104.625	104.631843765	104.625
0	1	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	106.125	0	106.125
107.143179883	1.5	STOP	LEFT	0.382140212999957	LEFT	95	CorrectResponse	UnsuccessfulStop	0.302969856000004	2	300	-1	107.125	107.143179883	107.125
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	108.625	0	108.625
109.386563392	1.5	GO	RIGHT	0.338758564000045	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	109.375	109.386563392	109.375
0	4	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	110.875	0	110.875
114.894532255	1.5	GO	LEFT	0.550331404000076	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	114.875	114.894532255	114.875
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	116.375	0	116.375
117.137913629	1.5	GO	LEFT	0.364638001000003	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	117.125	117.137913629	117.125
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	118.625	0	118.625
119.766404783	1.5	GO	LEFT	0.414856184999962	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	119.75	119.766404783	119.75
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	121.25	0	121.25
123.265513397	1.5	GO	RIGHT	0.435377099999982	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	123.25	123.265513397	123.25
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	124.75	0	124.75
126.262119081	1.5	STOP	RIGHT	0.424142274000019	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.200493154000014	1	200	-1	126.25	126.262119081	126.25
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	127.75	0	127.75
129.258824734	1.5	GO	RIGHT	0.492067345999999	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	129.25	129.258824734	129.25
