onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0112430620000055	1.5	GO	RIGHT	0.896315043999977	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0112430620000055	0
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
3.39809481099999	1.5	GO	RIGHT	0.835371989000009	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	3.375	3.39809481099999	3.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	4.875	0	4.875
5.51601751800001	1.5	GO	LEFT	0.724963856000016	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	5.5	5.51601751800001	5.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	7	0	7
7.51698543700002	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.350708795999992	2	350	1	7.5	7.51698543700002	7.5
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9	0	9
9.768154055	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.251602910999992	1	250	1	9.75	9.768154055	9.75
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.25	0	11.25
14.520885631	1.5	GO	RIGHT	0.672250077000001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	14.5	14.520885631	14.5
0	3.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16	0	16
19.390160217	1.5	GO	LEFT	0.796116287000018	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	19.375	19.390160217	19.375
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.875	0	20.875
22.392004818	1.5	GO	LEFT	0.704510274000029	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	22.375	22.392004818	22.375
0	2.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.875	0	23.875
26.527713317	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.30065191999995	1	300	1	26.5	26.527713317	26.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	28	0	28
28.595336839	1.5	GO	RIGHT	0.606489667999995	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	28.5	28.595336839	28.5
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30	0	30
30.763272352	1.5	GO	LEFT	0.773407013999986	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	30.75	30.763272352	30.75
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	32.25	0	32.25
33.397900387	1.5	GO	RIGHT	0.56422269799998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	33.375	33.397900387	33.375
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	34.875	0	34.875
35.76583408	1.5	GO	LEFT	0.618422911999971	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	35.75	35.76583408	35.75
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	37.25	0	37.25
39.267709331	1.5	GO	RIGHT	0.67116600099996	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	39.25	39.267709331	39.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.75	0	40.75
41.518997865	1.5	GO	LEFT	0.76131511899996	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	41.5	41.518997865	41.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	43	0	43
43.637218265	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.402670769999986	2	400	1	43.625	43.637218265	43.625
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	45.125	0	45.125
48.389621857	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.452611876999981	2	450	1	48.375	48.389621857	48.375
0	3.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.875	0	49.875
53.006833859	1.5	GO	LEFT	0.770530320000034	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	53	53.006833859	53
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	54.5	0	54.5
56.393793461	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.351068258999987	1	350	1	56.375	56.393793461	56.375
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	57.875	0	57.875
60.146124011	1.5	GO	RIGHT	0.800707381999985	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	60.125	60.146124011	60.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.625	0	61.625
62.147002105	1.5	GO	RIGHT	0.728367558000002	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	62.125	62.147002105	62.125
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	63.625	0	63.625
65.129999152	1.5	GO	LEFT	0.639091855000004	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	65.125	65.129999152	65.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	66.625	0	66.625
67.133003108	1.5	GO	RIGHT	0.668716731000018	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	67.125	67.133003108	67.125
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	68.625	0	68.625
70.885094293	1.5	GO	LEFT	0.627925330999972	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	70.875	70.885094293	70.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	72.375	0	72.375
73.019683797	1.5	GO	LEFT	0.574209881000002	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	73	73.019683797	73
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.5	0	74.5
75.27087147	1.5	GO	LEFT	0.579555692000042	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	75.25	75.27087147	75.25
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.75	0	76.75
78.022345811	1.5	GO	RIGHT	0.580578553999999	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	78	78.022345811	78
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	79.5	0	79.5
80.390341419	1.5	GO	RIGHT	0.549191387999997	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	80.375	80.390341419	80.375
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	81.875	0	81.875
83.758840359	1.5	GO	RIGHT	0.626461538000001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	83.75	83.758840359	83.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	85.25	0	85.25
86.143720367	1.5	STOP	LEFT	0.569928873000038	LEFT	95	CorrectResponse	UnsuccessfulStop	0.502577361000021	2	500	-1	86.125	86.143720367	86.125
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	87.625	0	87.625
89.261803969	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.402515159000018	1	400	1	89.25	89.261803969	89.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	90.75	0	90.75
91.513129947	1.5	GO	LEFT	1.02508761399997	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	91.5	91.513129947	91.5
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	93	0	93
94.264682194	1.5	GO	RIGHT	0.64142192700001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	94.25	94.264682194	94.25
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	95.75	0	95.75
97.132712357	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.45246228000002	1	450	1	97.125	97.132712357	97.125
0	3	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	98.625	0	98.625
101.635393243	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.450354746000016	2	450	1	101.625	101.635393243	101.625
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	103.125	0	103.125
104.770639754	1.5	GO	LEFT	0.768390074000024	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	104.75	104.770639754	104.75
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	106.25	0	106.25
107.521942998	1.5	GO	LEFT	0.887061940000024	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	107.5	107.521942998	107.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	109	0	109
109.639794048	1.5	GO	RIGHT	1.42575947200004	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	109.625	109.639794048	109.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	111.125	0	111.125
111.640909705	1.5	GO	RIGHT	0.65689931999998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	111.625	111.640909705	111.625
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	113.125	0	113.125
113.758547521	1.5	GO	LEFT	0.97732944400002	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	113.75	113.758547521	113.75
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	115.25	0	115.25
115.893352562	1.5	GO	LEFT	0.691222186999994	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	115.875	115.893352562	115.875
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	117.375	0	117.375
117.894516722	1.5	STOP	LEFT	0.564430130999995	LEFT	95	CorrectResponse	UnsuccessfulStop	0.501144141999987	1	500	-1	117.875	117.894516722	117.875
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	119.375	0	119.375
120.645802077	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.501632852	2	500	1	120.625	120.645802077	120.625
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	122.125	0	122.125
122.713714586	1.5	GO	RIGHT	0.68683913000001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	122.625	122.713714586	122.625
