onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.0474975450001693	1.20179545699989	1.20179545699989	1	BALOON	5	ACCEPT	0	5	5	5	0.0474975450001693
3.17485072099998	0.612437306000174	0.612437306000174	1	BALOON	5	ACCEPT	0	5	10	5	3.17485072099998
5.40866985000002	0.632617534000019	0.632617534000019	1	BALOON	28	CASHOUT	0	0	10	5	5.40866985000002
12.887876627	0.452397650000194	0.452397650000194	2	BALOON	5	ACCEPT	1	5	5	5	12.887876627
14.7245671850001	0.381711659000075	0.381711659000075	2	BALOON	5	ACCEPT	1	5	10	5	14.7245671850001
17.852044536	0	0	2	BALOON	n/a	EXPLODE	1	0	10	5	17.852044536
25.3145945600002	0.88066928499984	0.88066928499984	3	CONTROL	28	CASHOUT	1	0	0	0	25.3145945600002
39.528378337	0.756890548000001	0.756890548000001	4	CONTROL	5	ACCEPT	1	0	0	0	39.528378337
46.329092983	0.357193203000179	0.357193203000179	5	CONTROL	5	ACCEPT	1	0	0	0	46.329092983
48.0003514490002	0.369918712999834	0.369918712999834	5	CONTROL	5	ACCEPT	1	0	0	0	48.0003514490002
50.0687215100002	0.289558611999837	0.289558611999837	5	CONTROL	5	ACCEPT	1	0	0	0	50.0687215100002
53.3284701140001	0.342811924999978	0.342811924999978	5	CONTROL	5	ACCEPT	1	0	0	0	53.3284701140001
55.5623255580001	0.382937130000073	0.382937130000073	5	CONTROL	5	ACCEPT	1	0	0	0	55.5623255580001
57.9781707770001	0.31310505600004	0.31310505600004	5	CONTROL	5	ACCEPT	1	0	0	0	57.9781707770001
73.4659986840002	0.489285556999903	0.489285556999903	6	CONTROL	5	ACCEPT	1	0	0	0	73.4659986840002
76.063905624	0.485368692000065	0.485368692000065	6	CONTROL	5	ACCEPT	1	0	0	0	76.063905624
78.827269418	0.546019569000009	0.546019569000009	6	CONTROL	5	ACCEPT	1	0	0	0	78.827269418
81.640241091	0.88903768199998	0.88903768199998	6	CONTROL	28	CASHOUT	1	0	0	0	81.640241091
86.4056644710001	0.411104008999928	0.411104008999928	6	CONTROL	5	ACCEPT	1	0	0	0	86.4056644710001
88.5733555320001	0.374927247999949	0.374927247999949	6	CONTROL	5	ACCEPT	1	0	0	0	88.5733555320001
91.535292024	0.37796858500019	0.37796858500019	6	CONTROL	5	ACCEPT	1	0	0	0	91.535292024
93.5043270910001	0.352954130999933	0.352954130999933	6	CONTROL	5	ACCEPT	1	0	0	0	93.5043270910001
96.4330779270001	0.388200057999939	0.388200057999939	6	CONTROL	5	ACCEPT	1	0	0	0	96.4330779270001
n/a	n/a	n/a	6	CONTROL	5	ACCEPT	1	0	0	0	n/a
102.853289233	0.413975721999805	0.413975721999805	7	BALOON	5	ACCEPT	0	5	5	5	102.853289233
105.533852647	0.331428710000182	0.331428710000182	7	BALOON	5	ACCEPT	0	5	10	5	105.533852647
107.602214313	0.349083187999895	0.349083187999895	7	BALOON	5	ACCEPT	0	5	15	5	107.602214313
110.117325781	0.299958294999897	0.299958294999897	7	BALOON	28	CASHOUT	0	0	15	5	110.117325781
116.272797555	0.67649948799999	0.67649948799999	8	CONTROL	5	ACCEPT	1	0	0	0	116.272797555
118.688663797	0.210634092999953	0.210634092999953	8	CONTROL	5	ACCEPT	1	0	0	0	118.688663797
121.551280034	0.374008939000078	0.374008939000078	8	CONTROL	5	ACCEPT	1	0	0	0	121.551280034
124.595865093	0.314426904999891	0.314426904999891	8	CONTROL	5	ACCEPT	1	0	0	0	124.595865093
126.234085374	0.367201701999875	0.367201701999875	8	CONTROL	28	CASHOUT	1	0	0	0	126.234085374
n/a	n/a	n/a	8	CONTROL	5	ACCEPT	1	0	0	0	n/a
141.175866524	0.329417845999842	0.329417845999842	9	BALOON	5	ACCEPT	0	5	5	5	141.175866524
142.631989617	0.283304093999959	0.283304093999959	9	BALOON	5	ACCEPT	0	5	10	5	142.631989617
144.319777514	0.772497368999893	0.772497368999893	9	BALOON	5	ACCEPT	0	5	15	5	144.319777514
148.142109989	0.537203636999948	0.537203636999948	9	BALOON	28	CASHOUT	0	0	15	5	148.142109989
152.444319501	0.935977862000072	0.935977862000072	10	CONTROL	5	ACCEPT	1	0	0	0	152.444319501
154.562324039	0.635976776000007	0.635976776000007	10	CONTROL	28	CASHOUT	1	0	0	0	154.562324039
n/a	n/a	n/a	10	CONTROL	5	ACCEPT	1	0	0	0	n/a
163.861643137	0.780654355000024	0.780654355000024	11	CONTROL	5	ACCEPT	1	0	0	0	163.861643137
166.922865136	0.312467011999843	0.312467011999843	11	CONTROL	28	CASHOUT	1	0	0	0	166.922865136
166.922865136	0.312467011999843	0.312467011999843	11	CONTROL	28	CASHOUT	1	0	0	0	166.922865136
n/a	n/a	n/a	11	CONTROL	5	ACCEPT	1	0	0	0	n/a
n/a	n/a	n/a	11	CONTROL	5	ACCEPT	1	0	0	0	n/a
187.010736967	0.504552708999881	0.504552708999881	12	BALOON	5	ACCEPT	0	5	5	5	187.010736967
189.492767941	0.274523628999987	0.274523628999987	12	BALOON	5	ACCEPT	0	5	10	5	189.492767941
192.222994315	0.275311031999991	0.275311031999991	12	BALOON	5	ACCEPT	0	5	15	5	192.222994315
194.655370861	0.293934794999814	0.293934794999814	12	BALOON	5	ACCEPT	0	5	20	5	194.655370861
197.981311926	0.833990345000075	0.833990345000075	12	BALOON	5	ACCEPT	0	5	25	5	197.981311926
201.687809806	0.36148958900003	0.36148958900003	12	BALOON	28	CASHOUT	0	0	25	5	201.687809806
205.46050194	0.624792367000055	0.624792367000055	13	BALOON	5	ACCEPT	1	5	5	5	205.46050194
208.769851893	0.311455617999854	0.311455617999854	13	BALOON	5	ACCEPT	1	5	10	5	208.769851893
210.556926404	0.426413364000155	0.426413364000155	13	BALOON	5	ACCEPT	1	5	15	5	210.556926404
212.856972411	0.357311207000066	0.357311207000066	13	BALOON	5	ACCEPT	1	5	20	5	212.856972411
215.868478229	1.01082143799999	1.01082143799999	13	BALOON	5	ACCEPT	1	5	25	5	215.868478229
218.830385349	0	0	13	BALOON	n/a	EXPLODE	1	0	25	5	218.830385349
222.818212696	0.438103120000051	0.438103120000051	14	CONTROL	5	ACCEPT	1	0	0	0	222.818212696
225.482244529	0.257057421999889	0.257057421999889	14	CONTROL	5	ACCEPT	1	0	0	0	225.482244529
228.047041958	0.258263280999927	0.258263280999927	14	CONTROL	5	ACCEPT	1	0	0	0	228.047041958
229.470122151	0.421170643999858	0.421170643999858	14	CONTROL	5	ACCEPT	1	0	0	0	229.470122151
231.207468889	0.347846975000039	0.347846975000039	14	CONTROL	5	ACCEPT	1	0	0	0	231.207468889
233.275883267	0.637435116000006	0.637435116000006	14	CONTROL	28	CASHOUT	1	0	0	0	233.275883267
233.275883267	0.637435116000006	0.637435116000006	14	CONTROL	28	CASHOUT	1	0	0	0	233.275883267
233.275883267	0.637435116000006	0.637435116000006	14	CONTROL	28	CASHOUT	1	0	0	0	233.275883267
244.626989647	0.976297976000069	0.976297976000069	15	CONTROL	5	ACCEPT	1	0	0	0	244.626989647
247.588933757	0.239461248999987	0.239461248999987	15	CONTROL	28	CASHOUT	1	0	0	0	247.588933757
251.940676997	0.348613106999892	0.348613106999892	15	CONTROL	5	ACCEPT	1	0	0	0	251.940676997
257.566686206	0.43260400500003	0.43260400500003	15	CONTROL	5	ACCEPT	1	0	0	0	257.566686206
247.588933757	0.239461248999987	0.239461248999987	15	CONTROL	28	CASHOUT	1	0	0	0	247.588933757
264.317800374	0.432549163999965	0.432549163999965	15	CONTROL	5	ACCEPT	1	0	0	0	264.317800374
266.369598163	0.530710799999952	0.530710799999952	15	CONTROL	5	ACCEPT	1	0	0	0	266.369598163
272.75670475	0.542613348000032	0.542613348000032	15	CONTROL	5	ACCEPT	1	0	0	0	272.75670475
n/a	n/a	n/a	15	CONTROL	5	ACCEPT	1	0	0	0	n/a
247.588933757	0.239461248999987	0.239461248999987	15	CONTROL	28	CASHOUT	1	0	0	0	247.588933757
n/a	n/a	n/a	15	CONTROL	5	ACCEPT	1	0	0	0	n/a
277.952409707	0.626911528000164	0.626911528000164	16	BALOON	5	ACCEPT	0	5	5	5	277.952409707
280.831535777	0.253781848000017	0.253781848000017	16	BALOON	5	ACCEPT	0	5	10	5	280.831535777
282.999215245	0.402089473999922	0.402089473999922	16	BALOON	5	ACCEPT	0	5	15	5	282.999215245
286.010728824	0.596582539999872	0.596582539999872	16	BALOON	5	ACCEPT	0	5	20	5	286.010728824
289.684127383	0.294157822999978	0.294157822999978	16	BALOON	28	CASHOUT	0	0	20	5	289.684127383
299.893562562	0.415756590000001	0.415756590000001	17	CONTROL	5	ACCEPT	1	0	0	0	299.893562562
301.945396888	0.203914004000126	0.203914004000126	17	CONTROL	5	ACCEPT	1	0	0	0	301.945396888
304.228903751	0.156418437999946	0.156418437999946	17	CONTROL	5	ACCEPT	1	0	0	0	304.228903751
309.72242571	0.474918908999825	0.474918908999825	18	BALOON	5	ACCEPT	1	5	5	5	309.72242571
312.585007462	0.252307041999984	0.252307041999984	18	BALOON	5	ACCEPT	1	5	10	5	312.585007462
314.239725986	0.286582482999847	0.286582482999847	18	BALOON	5	ACCEPT	1	5	15	5	314.239725986
316.159159215	0.360146290000102	0.360146290000102	18	BALOON	5	ACCEPT	1	5	20	5	316.159159215
318.57504898	0	0	18	BALOON	n/a	EXPLODE	1	0	20	5	318.57504898
325.508149665	0.497164055999974	0.497164055999974	19	BALOON	5	ACCEPT	0	5	5	5	325.508149665
328.850628201	0.161695478999945	0.161695478999945	19	BALOON	5	ACCEPT	0	5	10	5	328.850628201
330.190922687	0.316393435000009	0.316393435000009	19	BALOON	5	ACCEPT	0	5	15	5	330.190922687
331.680167153	0.499142430999882	0.499142430999882	19	BALOON	28	CASHOUT	0	0	15	5	331.680167153
336.280143132	0.439176232999898	0.439176232999898	20	CONTROL	5	ACCEPT	1	0	0	0	336.280143132
339.308291155	0.403005301000121	0.403005301000121	20	CONTROL	5	ACCEPT	1	0	0	0	339.308291155
342.518328804	0.380983282999978	0.380983282999978	20	CONTROL	5	ACCEPT	1	0	0	0	342.518328804
344.619830841	0.429483376000007	0.429483376000007	20	CONTROL	5	ACCEPT	1	0	0	0	344.619830841
347.316984172	0.360363956000128	0.360363956000128	20	CONTROL	5	ACCEPT	1	0	0	0	347.316984172
350.014139933	0.433190172999957	0.433190172999957	20	CONTROL	5	ACCEPT	1	0	0	0	350.014139933
351.834288555	0.343037798000069	0.343037798000069	20	CONTROL	5	ACCEPT	1	0	0	0	351.834288555
364.459518486	0.613798812999903	0.613798812999903	21	CONTROL	5	ACCEPT	1	0	0	0	364.459518486
367.934375465	0.366943842000182	0.366943842000182	21	CONTROL	5	ACCEPT	1	0	0	0	367.934375465
377.515005407	0.407324456999959	0.407324456999959	22	BALOON	5	ACCEPT	0	5	5	5	377.515005407
379.980538147	0.200788437000028	0.200788437000028	22	BALOON	5	ACCEPT	0	5	10	5	379.980538147
382.776924507	0.324401876000138	0.324401876000138	22	BALOON	5	ACCEPT	0	5	15	5	382.776924507
