onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_noTriggerAdjust	TimeCourse_noTriggerAdjust
0.0160872639999923	1.5	GO	RIGHT	0.744184255999983	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0160872639999923	0
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	1.5	0	1.5
3.38646501599999	1.5	GO	RIGHT	0.59681476999998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	3.375	3.38646501599999	3.375
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	4.875	0	4.875
5.52105819899998	1.5	GO	LEFT	0.458029963999991	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	5.5	5.52105819899998	5.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	7	0	7
7.52210690499999	1.5	STOP	LEFT	0.535011456999996	LEFT	95	CorrectResponse	UnsuccessfulStop	0.350997339000003	2	350	-1	7.5	7.52210690499999	7.5
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	9	0	9
9.75453023899999	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.252517479000005	1	250	1	9.75	9.75453023899999	9.75
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	11.25	0	11.25
14.509088129	1.5	GO	RIGHT	0.549186934999994	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	14.5	14.509088129	14.5
0	3.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	16	0	16
19.395297998	1.5	GO	LEFT	0.65402197200001	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	19.375	19.395297998	19.375
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	20.875	0	20.875
22.396860561	1.5	GO	LEFT	0.493243308999979	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	22.375	22.396860561	22.375
0	2.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	23.875	0	23.875
26.515732082	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.301840036000016	1	300	1	26.5	26.515732082	26.5
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	28	0	28
28.581911818	1.5	GO	RIGHT	0.594890102999983	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	28.5	28.581911818	28.5
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	30	0	30
30.768435733	1.5	GO	LEFT	0.750747439000008	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	30.75	30.768435733	30.75
0	1.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	32.25	0	32.25
33.386268105	1.5	GO	RIGHT	0.661872203000001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	33.375	33.386268105	33.375
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	34.875	0	34.875
35.771214087	1.5	GO	LEFT	0.558395871999977	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	35.75	35.771214087	35.75
0	2	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	37.25	0	37.25
39.272760449	1.5	GO	RIGHT	0.608600623000001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	39.25	39.272760449	39.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	40.75	0	40.75
41.507222486	1.5	GO	LEFT	0.494406720000001	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	41.5	41.507222486	41.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	43	0	43
43.641867363	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.302056679000003	2	300	1	43.625	43.641867363	43.625
0	3.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	45.125	0	45.125
48.394488054	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.352264652999992	2	350	1	48.375	48.394488054	48.375
0	3.125	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	49.875	0	49.875
53.013609315	1.5	GO	LEFT	0.715258178000028	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	53	53.013609315	53
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	54.5	0	54.5
56.380824255	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.35032580699999	1	350	1	56.375	56.380824255	56.375
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	57.875	0	57.875
60.13415039	1.5	GO	RIGHT	0.681396495000001	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	60.125	60.13415039	60.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	61.625	0	61.625
62.135142833	1.5	GO	RIGHT	0.721418411999991	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	62.125	62.135142833	62.125
0	1.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	63.625	0	63.625
65.137019061	1.5	GO	LEFT	0.470096196000014	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	65.125	65.137019061	65.125
0	0.5	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	66.625	0	66.625
67.138053618	1.5	GO	RIGHT	0.565164479000003	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	67.125	67.138053618	67.125
0	2.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	68.625	0	68.625
70.890062734	1.5	GO	LEFT	0.624401245000001	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	70.875	70.890062734	70.875
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	72.375	0	72.375
73.007798032	1.5	GO	LEFT	0.719631829999997	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	73	73.007798032	73
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	74.5	0	74.5
75.259073295	1.5	GO	LEFT	0.629286277000006	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	75.25	75.259073295	75.25
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	76.75	0	76.75
78.010672446	1.5	GO	RIGHT	0.527498860999998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	78	78.010672446	78
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	79.5	0	79.5
80.395670413	1.5	GO	RIGHT	0.50184992299998	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	80.375	80.395670413	80.375
0	1.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	81.875	0	81.875
83.763943328	1.5	GO	RIGHT	0.549995574999997	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	83.75	83.763943328	83.75
0	0.875	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	85.25	0	85.25
86.129851192	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.401268450999993	2	400	1	86.125	86.129851192	86.125
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	87.625	0	87.625
89.266956012	1.5	STOP	RIGHT	0.573781634999989	RIGHT	92	CorrectResponse	UnsuccessfulStop	0.401535647000003	1	400	-1	89.25	89.266956012	89.25
0	0.75	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	90.75	0	90.75
91.518137285	1.5	GO	LEFT	0.762936631000002	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	91.5	91.518137285	91.5
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	93	0	93
94.269592451	1.5	GO	RIGHT	0.79541512000003	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	94.25	94.269592451	94.25
0	1.375	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	95.75	0	95.75
97.138156301	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.350337185000001	1	350	1	97.125	97.138156301	97.125
0	3	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	98.625	0	98.625
101.6404399	1.5	STOP	LEFT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.451437537000004	2	450	1	101.625	101.6404399	101.625
0	1.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	103.125	0	103.125
104.758611598	1.5	GO	LEFT	0.71511539100004	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	104.75	104.758611598	104.75
0	1.25	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	106.25	0	106.25
107.510347982	1.5	GO	LEFT	0.716930496999964	LEFT	95	CorrectResponse	SuccessfulGo	0	0	0	0	107.5	107.510347982	107.5
0	0.625	NULL	BLANKSCREEN	0	n/a	0	n/a	n/a	0	0	0	0	109	0	109
109.645255075	1.5	GO	RIGHT	0.782066798000017	RIGHT	92	CorrectResponse	SuccessfulGo	0	0	0	0	109.625	109.645255075	109.625
